[2012-11-29 12:33:39] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/-1) [] []
[2012-11-29 12:33:39] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:34:19] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:34:42] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 12:34:46] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/01) [] []
[2012-11-29 11:57:43] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 11:57:44] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/favicon.ico) [] []
[2012-11-29 11:57:47] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/favicon.ico) [] []
[2012-11-29 11:57:55] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/01) [] []
[2012-11-29 11:58:13] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/) [] []
[2012-11-29 11:58:35] MYAPP.INFO: 127.0.0.30 - marcio está acessando a rota "question.show" (/1) [] []
